"aula","data","nps","comentario"
"1","04/05/2026","86","Gostei muito da introdução ao curso. Ficou claro o que vamos aprender ao longo das semanas."
"1","04/05/2026","86","A explicação sobre LLMs foi ótima, mas o ritmo ficou um pouco rápido no começo. Precisei rebobinar algumas vezes."
"1","04/05/2026","86","Estou vindo da área financeira e nunca tinha visto nada de IA. Consegui acompanhar tudo bem!"
"1","04/05/2026","86","Excelente aula de abertura. A professora explicou de forma muito didática e contextualizada."
"1","04/05/2026","86","Tive problemas técnicos no início - meu microfone não funcionou durante 10 minutos, mas depois resolveu."
"1","04/05/2026","86","Achei que poderia ter mais exemplos práticos já na primeira aula. Ficou muito teórico."
"1","04/05/2026","86","Muito bom! O tempo passou rápido demais, queria que tivesse durado mais."
"1","04/05/2026","86","Conteúdo relevante e bem estruturado. Estou animado para as próximas aulas."
"1","04/05/2026","86","A parte de configuração do ambiente demorou um pouco mais do que eu esperava. Perdi uns 20 minutos nisso."
"1","04/05/2026","86","Ótima introdução. Fez sentido começar com a história e evolução dos modelos de linguagem."
"1","04/05/2026","86","Gostaria de um PDF com os slides para revisar depois da aula. O conteúdo é denso."
"1","04/05/2026","86","Muito motivador! Senti que estou no lugar certo para aprender IA de verdade."
"1","04/05/2026","86","A comparação entre GPT, Gemini e Claude foi muito útil para entender o mercado atual."
"2","11/05/2026","85","A aula de prompt engineering foi reveladora. Não imaginava que a forma de perguntar fazia tanta diferença."
"2","11/05/2026","85","Adorei os exemplos ao vivo. Ver o modelo responder diferente dependendo do prompt foi muito esclarecedor."
"2","11/05/2026","85","A parte de chain-of-thought poderia ter mais exemplos práticos. Fiquei com dúvida na aplicação real."
"2","11/05/2026","85","Excelente! Já usei as técnicas de few-shot no meu trabalho na semana seguinte."
"2","11/05/2026","85","A demonstração com o Claude ao vivo foi incrível. Muito didática e bem escolhida."
"2","11/05/2026","85","Gostaria de mais exercícios práticos para fazer em casa depois da aula."
"2","11/05/2026","85","O conteúdo foi denso mas bem explicado. Precisei pausar o vídeo algumas vezes para absorver."
"2","11/05/2026","85","Aprendi muito! Few-shot prompting era algo que eu nunca tinha ouvido falar antes."
"2","11/05/2026","85","A professora domina muito bem o assunto e passa segurança na explicação."
"2","11/05/2026","85","Tive dificuldade de acompanhar quando o código apareceu na tela. A letra estava muito pequena."
"2","11/05/2026","85","Cada conceito foi bem contextualizado com casos de uso reais. Isso ajuda muito."
"2","11/05/2026","85","Achei a aula um pouco longa. Talvez dividir em duas partes menores fosse melhor."
"2","11/05/2026","85","Os templates de prompt compartilhados são muito úteis no dia a dia. Obrigado!"
"2","11/05/2026","85","Conteúdo de altíssima qualidade. Um dos melhores módulos que já fiz em curso online."
"2","11/05/2026","85","O exemplo do prompt para análise de contratos foi muito aplicável para a minha área."
"3","18/05/2026","94","Finalmente entendi como usar a API do Groq! A explicação passo a passo foi perfeita."
"3","18/05/2026","94","Sou iniciante em Python e consegui acompanhar tudo sem dificuldade. Isso é um ótimo sinal!"
"3","18/05/2026","94","A parte sobre variáveis de ambiente e segurança de chaves API foi muito importante. Bom que cobriram isso."
"3","18/05/2026","94","Saí daqui com o código funcionando na minha máquina. Sensação ótima!"
"3","18/05/2026","94","Gostei da comparação entre as diferentes APIs - Groq, OpenAI e Google. Ficou clara a diferença."
"3","18/05/2026","94","Tive problema ao instalar as dependências no Windows. Seria útil ter um guia de troubleshooting para Windows."
"3","18/05/2026","94","A velocidade da API do Groq é impressionante! Não esperava respostas tão rápidas."
"3","18/05/2026","94","O exemplo do chatbot simples foi muito motivador. Vi que dá para fazer coisas úteis com poucas linhas."
"3","18/05/2026","94","Ótima didática. Cada linha de código foi explicada com calma e clareza."
"3","18/05/2026","94","Gostaria que o material de apoio estivesse disponível antes da aula para preparar o ambiente."
"3","18/05/2026","94","A sessão de perguntas ao final foi muito rica. As dúvidas dos colegas me ajudaram também."
"3","18/05/2026","94","Incrível como em poucas linhas de Python já conseguimos resultados práticos com IA."
