aula,nps,comentario,cluster
1,86,"Você acha que a curva de aprendizado é a mesma pra quem é mais jovem e pra quem é 30+ como eu? Gostaria de dicas, conselhos ou recomendações de como me aprofundar mais no conhecimento prático e me destacar na área, pois atualmente eu já estou sentindo etarismo na pele desde meus 30 anos, eu me sinto como um jovem ainda, mas as empresas parece que infelizmente querem recrutar apenas jovens. Eu venho da área financeira para tecnologias, que foi algo que sempre amei desde mais jovem, mas nunca trilhei por este caminho por falta de oportunidades, seja de aprendizado ou mercado de trabalho mesmo.",2
1,86,Tudo perfeito e ansioso para aprender mais sobre IA.,2
1,86,Tudo muito bom!,3
1,86,Tudo certo ate aqui.,0
1,86,"Toda a trilha da Alura tem sido ótima. O conteúdo é relevante para o crescimento profissional e o desenvolvimento de novas habilidades. As aulas são didáticas, o que facilita o entendimento para quem não tem conhecimento.",2
1,86,Tirei dúvidas.,0
1,86,Super didática.,0
1,86,"Sou iniciante no estudo de IA e a professora é tranquila, domina o assunto e passa com clareza.",2
1,86,"Só que a aula vai um pouco lenta, e dá um pouco de sono.",2
1,86,"Sinceramente a Alura é melhor, obrigado Santander!!",0
1,86,Seria muito bom implementar um sistema de legendas para poder incluir de um modo mais confortável pessoas com deficiência auditiva. A opção de legendas do Youtube é realmente deficiente.,2
1,86,Seria legal a professora ter um horário para responder as perguntas que fazemos no chat.,2
1,86,Senti falta de um suporte ativo durante as aulas.,2
2,85,Uma hora é muito pouco e muito corrido.,3
2,85,Tudo ok.,0
2,85,"Sem palavras, didática super fluida e eficiente para o aprendizado do aluno.",0
2,85,Se tivesse mais tempo para essa aula de segunda feira talvez seria melhor.,2
2,85,Repito há necessidade de 2 pessoas. A professora para revisar o conteúdo e uma pessoa focada apenas no chat trocando ideias com a professora e passando as principais dúvidas. Ela para muito para ler o chat; quando alguém faz isso torna a aula e a revisão bem mais dinâmica.,2
2,85,Professora muito boa.,1
2,85,"Professora Elaine trouxe muitos assuntos legais, mostrou na prática o que estudei na semana 2.",2
2,85,"Professor com boa didática, trazendo exemplos em aula.",1
2,85,PARABÉNS!,0
2,85,Ótimo.,0
2,85,Ótima.,0
2,85,Ótima Aula. Obrigado!!,1
2,85,"Ótima aula, conteúdo muito bom transmitido com firmeza e propriedade. Alura nota 1000.",3
2,85,Ótima aula.,1
2,85,O tempo é muito curto para tanta informação.,3
3,94,"Super interessante, gostaria de ver uso auxiliar na programação e testes de software.",2
3,94,Show!!,0
