sentimento,categoria,resumo,prioridade,original
neutro,outro,Não há comentário para analisar.,baixa,"""aula"",""data"",""nps"",""comentario"""
neutro,outro,Aluno busca dicas para se destacar na área de tecnologia após mudar de carreira e sentir etarismo.,baixa,"""1"",""04/05/2026"",""86"",""Você acha que a curva de aprendizado é a mesma pra quem é mais jovem e pra quem é 30+ como eu? Gostaria de dicas, conselhos ou recomendações de como me aprofundar mais no conhecimento prático e me destacar na área, pois atualmente eu já estou sentindo etarismo na pele desde meus 30 anos, eu me sinto como um jovem ainda, mas as empresas parece que infelizmente querem recrutar apenas jovens. Eu venho da área financeira para tecnologias, que foi algo que sempre amei desde mais jovem, mas nunca trilhei por este caminho por falta de oportunidades, seja de aprendizado ou mercado de trabalho mesmo."""
positivo,conteudo,Aluno satisfeito com o curso e ansioso para aprender mais,baixa,"""1"",""04/05/2026"",""86"",""Tudo perfeito e ansioso para aprender mais sobre IA."""
positivo,outro,O aluno gostou do curso,baixa,"""1"",""04/05/2026"",""86"",""Tudo muito bom!"""
positivo,outro,Aluno está satisfeito com o curso até o momento,baixa,"""1"",""04/05/2026"",""86"",""Tudo certo ate aqui."""
positivo,conteudo,O aluno elogia a trilha da Alura por ter conteúdo relevante e aulas didáticas.,baixa,"""1"",""04/05/2026"",""86"",""Toda a trilha da Alura tem sido ótima. O conteúdo é relevante para o crescimento profissional e o desenvolvimento de novas habilidades. As aulas são didáticas, o que facilita o entendimento para quem não tem conhecimento."""
positivo,conteudo,O aluno conseguiu tirar suas dúvidas.,baixa,"""1"",""04/05/2026"",""86"",""Tirei dúvidas."""
positivo,professor,A professora é considerada super didática.,baixa,"""1"",""04/05/2026"",""86"",""Super didática."""
positivo,professor,A professora é tranquila e passa o conteúdo com clareza.,baixa,"""1"",""04/05/2026"",""86"",""Sou iniciante no estudo de IA e a professora é tranquila, domina o assunto e passa com clareza."""
negativo,tempo,A aula é muito lenta e causa sono,media,"""1"",""04/05/2026"",""86"",""Só que a aula vai um pouco lenta, e dá um pouco de sono."""
negativo,conteudo,O aluno prefere a Alura em relação ao curso oferecido.,media,"""1"",""04/05/2026"",""86"",""Sinceramente a Alura é melhor, obrigado Santander!!"""
negativo,tecnico,O aluno sugere a implementação de um sistema de legendas para incluir pessoas com deficiência auditiva.,media,"""1"",""04/05/2026"",""86"",""Seria muito bom implementar um sistema de legendas para poder incluir de um modo mais confortável pessoas com deficiência auditiva. A opção de legendas do Youtube é realmente deficiente."""
neutro,professor,Aluno sugere que a professora tenha um horário para responder perguntas no chat.,baixa,"""1"",""04/05/2026"",""86"",""Seria legal a professora ter um horário para responder as perguntas que fazemos no chat."""
negativo,tecnico,Aluno sentiu falta de suporte ativo durante as aulas.,media,"""1"",""04/05/2026"",""86"",""Senti falta de um suporte ativo durante as aulas."""
negativo,tempo,O aluno acha que o tempo do curso é muito curto e corrido.,media,"""2"",""11/05/2026"",""85"",""Uma hora é muito pouco e muito corrido."""
positivo,outro,Aluno está satisfeito com o curso,baixa,"""2"",""11/05/2026"",""85"",""Tudo ok."""
positivo,professor,O aluno elogia a didática do professor.,baixa,"""2"",""11/05/2026"",""85"",""Sem palavras, didática super fluida e eficiente para o aprendizado do aluno."""
neutro,tempo,O aluno acha que precisaria de mais tempo para a aula de segunda-feira.,baixa,"""2"",""11/05/2026"",""85"",""Se tivesse mais tempo para essa aula de segunda feira talvez seria melhor."""
neutro,professor,O aluno sugere a necessidade de duas pessoas para conduzir a aula de forma mais dinâmica.,baixa,"""2"",""11/05/2026"",""85"",""Repito há necessidade de 2 pessoas. A professora para revisar o conteúdo e uma pessoa focada apenas no chat trocando ideias com a professora e passando as principais dúvidas. Ela para muito para ler o chat; quando alguém faz isso torna a aula e a revisão bem mais dinâmica."""
positivo,professor,A professora foi elogiada por ser muito boa,baixa,"""2"",""11/05/2026"",""85"",""Professora muito boa."""
positivo,professor,A professora Elaine trouxe assuntos legais e mostrou na prática o que o aluno estudou,baixa,"""2"",""11/05/2026"",""85"",""Professora Elaine trouxe muitos assuntos legais, mostrou na prática o que estudei na semana 2."""
positivo,professor,O aluno elogia a didática do professor e a utilização de exemplos em aula.,baixa,"""2"",""11/05/2026"",""85"",""Professor com boa didática, trazendo exemplos em aula."""
positivo,outro,Aluno parabeniza o curso,baixa,"""2"",""11/05/2026"",""85"",""PARABÉNS!"""
positivo,outro,Aluno considerou o curso ótimo,baixa,"""2"",""11/05/2026"",""85"",""Ótimo."""
positivo,outro,O aluno gostou do curso,baixa,"""2"",""11/05/2026"",""85"",""Ótima."""
positivo,conteudo,Aluno elogia a aula,baixa,"""2"",""11/05/2026"",""85"",""Ótima Aula. Obrigado!!"""
positivo,conteudo,O aluno elogiou a aula e o conteúdo transmitido.,baixa,"""2"",""11/05/2026"",""85"",""Ótima aula, conteúdo muito bom transmitido com firmeza e propriedade. Alura nota 1000."""
positivo,conteudo,A aula foi considerada ótima,baixa,"""2"",""11/05/2026"",""85"",""Ótima aula."""
negativo,tempo,O aluno acha o tempo do curso muito curto para a quantidade de informação,media,"""2"",""11/05/2026"",""85"",""O tempo é muito curto para tanta informação."""
positivo,conteudo,Aluno gostou do conteúdo e sugere incluir uso auxiliar na programação e testes de software,baixa,"""3"",""18/05/2026"",""94"",""Super interessante, gostaria de ver uso auxiliar na programação e testes de software."""
positivo,outro,Aluno gostou do curso,baixa,"""3"",""18/05/2026"",""94"",""Show!!"""
positivo,tempo,"O aluno gostou das aulas, mas acha que a duração é curta.",baixa,"""3"",""18/05/2026"",""94"",""Sensacional as aulas, pena que é uma hora só."""
